"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","xend","yend"
"84143",-116.0912128,36.0440747,2019-07-01 20:00:00,-0.00220529999999997,0.000398599999996918,0.00224103325499587,3600,8.19615216401381e-05,2.96277684974038,0.142088420208335,-116.0907164,36.0439097
"84164",-116.0934181,36.0444733,2019-07-01 21:00:00,-2.91000000061103e-05,6.70000000013715e-06,2.98613462582895e-05,3600,8.72898576500309e-05,2.9152958135673,-0.0474810361730786,-116.0912128,36.0440747
"84252",-116.0934472,36.04448,2019-07-01 22:00:00,3.47000000004982e-05,-1.97000000028424e-05,3.99021302707834e-05,3600,8.74541751700412e-05,-0.516348484050587,2.8515410095617,-116.0934181,36.0444733
"84305",-116.0934125,36.0444603,2019-07-01 23:00:00,-8.75000000064574e-05,8.03000000004772e-05,0.000118761694166119,3600,8.7040335849988e-05,2.39907641035192,2.9154248944025,-116.0934472,36.04448
"84342",-116.0935,36.0445406,2019-07-02 00:00:00,2.86000000073727e-05,-6.13999999998782e-05,6.77341863493374e-05,3600,8.86639705300053e-05,-1.1348826879881,2.74922620883957,-116.0934125,36.0444603
"84463",-116.0934714,36.0444792,2019-07-02 01:00:00,1.91999999969994e-05,-8.89999999742486e-06,2.11624667711243e-05,3600,8.7473303449997e-05,-0.434057939038448,0.700824748949649,-116.0935,36.0445406
"84480",-116.0934522,36.0444703,2019-07-02 02:00:00,-7.34000000051083e-05,-2.81000000015297e-05,7.85949743993588e-05,3600,8.72802819200495e-05,-2.77597175540596,-2.34191381636751,-116.0934714,36.0444792
"84538",-116.0935256,36.0444422,2019-07-02 03:00:00,9.8700000009444e-05,4.41999999978293e-05,0.00010814494903449,3600,8.68651089300281e-05,0.421040959012209,-3.08617259276142,-116.0934522,36.0444703
"84655",-116.0934269,36.0444864,2019-07-02 04:00:00,-0.0011895000000095,0.00138800000000572,0.00182796451005989,3600,8.75459314599749e-05,2.27933359399977,1.85829263498757,-116.0935256,36.0444422
"84684",-116.0946164,36.0458744,2019-07-02 05:00:00,0.000326700000002234,0.00151340000000033,0.00154826110524112,3600,0.00011839095261011,1.35818727591541,-0.921146318084367,-116.0934269,36.0444864
"84748",-116.0942897,36.0473878,2019-07-02 06:00:00,-0.000777200000001699,6.71999999966033e-05,0.000780099788490026,3660,0.000152021158420126,3.05534293231421,1.6971556563988,-116.0946164,36.0458744
"84853",-116.0950669,36.047455,2019-07-02 07:01:00,0.000983000000005063,0.00233390000000355,0.00253246484872476,3540,0.000156658244420048,1.17216278725523,-1.88318014505898,-116.0942897,36.0473878
"84929",-116.0940839,36.0497889,2019-07-02 08:00:00,3.42000000017606e-05,-0.000106100000003551,0.000111475782127213,3600,0.000215947074610148,-1.25897452413516,-2.43113731139039,-116.0950669,36.047455
"84983",-116.0940497,36.0496828,2019-07-02 09:00:00,0.000282200000000898,1.22000000004618e-05,0.000282463590574995,3600,0.000212763112420039,0.0432048475416841,1.30217937167685,-116.0940839,36.0497889
"85008",-116.0937675,36.049695,2019-07-02 10:00:00,0.00131999999999266,0.000205299999997521,0.00133586978780853,3660,0.000212467126100055,0.154294119917534,0.11108927237585,-116.0940497,36.0496828
